cleithra_R1,cleithra_R2,cleithra_R3
7,7,6
14,15,12
12,14,11
14,15,15
13,16,13
14,18,12
12,12,11
13,16,14
14,13,13
11,11,10
14,14,11
9,10,10
5,6,5
13,12,11
15,15,11
9,9,8
7,7,6
7,7,6
4,5,4
8,8,8
13,15,10
12,13,12
8,9,8
6,6,5
11,10,8
14,13,13
7,8,7
9,10,9
6,7,6
9,9,9
5,6,5
5,6,5
5,6,5
12,13,11
7,8,7
11,11,11
4,5,4
5,6,5
3,4,3
9,10,9
3,4,2
8,7,7
11,12,9
7,8,7
2,3,2
4,5,4
4,3,2
15,15,12
7,7,5
7,5,4
7,7,8
5,5,4
4,5,5
4,5,3
5,6,5
4,5,4
8,7,8
9,7,8
9,10,10
9,7,6
11,12,11
18,18,18
7,8,7
7,8,7
11,11,11
6,6,5
5,6,5
3,4,4
11,12,11
6,6,5
11,9,9
12,13,13
13,14,14
12,13,14
10,10,11
9,10,11
9,10,9
7,8,8
9,10,8
4,5,4
9,10,9
17,19,13
19,20,19
18,20,22
9,10,9
10,11,11
9,10,9
12,13,10
14,16,15
5,6,5
10,12,13
13,13,11
6,7,6
6,6,6
7,9,8
9,9,8
12,10,11
9,8,8
7,7,6
10,8,9
11,10,9
13,11,9
13,12,10
9,9,7
7,7,6
4,5,4
15,15,11
12,12,11
12,12,12
15,16,13
12,10,10
12,12,9
12,7,10
13,13,14
13,10,14
15,15,14
5,6,5
10,12,10
3,4,3
13,13,12
5,6,5
10,10,10
